Chr	GeneID	Start	Stop	CodingLength	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
chr3	ROPN1	123687879	123710199	1103	4	0	0	2	0	0	0	0	2	0
chr3	ROPN1B	125688028	125702296	1000	4	0	4	4	2	0	0	0	0	0
chr3	RPL14	40498801	40503859	946	46626	55170	57320	37564	95562	43262	76378	42968	41796	88012
chr3	RPL15	23958295	23965187	4716	56706	66888	69090	43278	103384	49282	90252	52024	52148	98934
chr3	RPL22L1	170582665	170588045	1962	1610	1840	1994	1610	2978	1390	2400	1718	1434	2792
chr3	RPL24	101399934	101405563	562	30180	39606	37876	25540	76908	27388	56976	28838	27676	69854
chr3	RPL29	52027644	52029958	695	35852	51642	43478	26660	89086	30924	71462	33264	32114	81638
chr3	RPL32	12876444	12883081	1859	35210	49818	44164	28820	93460	31464	70206	32866	32468	86446
chr3	RPL35A	197677052	197682721	483	24088	32424	29816	19872	60834	21716	44236	22994	22158	54582
chr3	RPL39L	186838741	186857263	703	16	20	26	14	36	14	42	16	22	22
chr3	RPN1	128338813	128369719	2341	31806	34334	37890	23576	51812	28702	44702	27994	27970	46812
chr3	RPP14	58291972	58305920	3500	3264	2648	3586	2468	3748	2758	3402	2820	2662	3422
chr3	RPSA	39448204	39454032	1147	5188	4790	5588	4018	6420	4436	5820	4132	3982	6932
chr3	RPUSD3	9879533	9885702	1227	1982	2784	2378	1510	3976	1844	3774	1742	1788	4232
chr3	RRP9	51967446	51975922	1543	2130	3104	2530	1786	4622	1956	3798	2090	1952	4490
chr3	RSRC1	157827892	158262576	1628	2490	1546	2702	1836	1454	2240	1882	2134	2036	1228
chr3	RTP1	186915274	186919253	2217	0	2	0	0	0	0	0	0	2	0
chr3	RTP2	187416047	187420345	1346	0	2	0	0	0	0	0	0	4	0
chr3	RTP3	46539485	46542439	817	0	0	0	6	0	2	0	0	0	0
chr3	RTP4	187086168	187089369	1011	570	576	650	318	718	564	974	454	426	698
chr3	RUVBL1	127799800	127842671	1768	4694	5736	5624	4130	6880	4336	7070	4596	4040	6872
chr3	RYBP	72423744	72495774	4449	4568	2972	5264	4246	2850	4122	3120	3890	4672	2594
chr3	RYK	133875978	133969586	2940	6698	4900	7530	5018	5418	5786	5966	5902	5900	5030
chr3	SACM1L	45730754	45786900	3707	4720	3296	5316	3664	3314	3938	3428	4274	4168	2890
chr3	SAMD7	169629482	169656948	2262	2	0	0	0	0	0	0	2	0	0
chr3	SATB1	18389133	18480265	5861	2	2	4	0	0	2	4	4	6	0
chr3	SCAP	47455184	47517445	4255	6470	7930	7826	4474	9460	5558	9876	6016	5888	9140
chr3	SCHIP1	158991036	159615155	2984	2	0	2	0	0	4	2	8	10	2
chr3	SCN10A	38738837	38835501	5874	2	4	6	2	0	0	2	0	0	2
chr3	SCN11A	38887260	38992052	6500	86	52	78	40	80	54	50	76	70	42
chr3	SCN5A	38589553	38691164	8597	764	948	862	572	814	586	954	676	644	720
chr3	SEC13	10342615	10362858	1770	8626	9768	10388	6594	16648	7524	13724	7958	8030	14868
chr3	SEC22A	122920774	122992982	3416	1990	2094	2486	1606	2824	1912	2558	1962	2002	2598
chr3	SEC22C	42589459	42642572	6524	7850	5774	9158	5922	6636	6804	6798	6788	6720	6110
chr3	SEC61A1	127771212	127790526	3636	32834	31116	38626	24512	43262	28546	40532	29430	29148	39226
chr3	SEC62	169684580	169716161	6541	13756	8128	15864	10986	10382	12750	9852	12366	11936	9114
chr3	SELK	53919226	53925989	818	2766	2842	3218	2248	4524	2492	3994	2294	2322	4144
chr3	SELT	150321066	150348234	3490	9516	7726	11602	7610	10344	8400	9564	8364	7946	9552
chr3	SEMA3B	50305040	50314572	2926	206	274	202	130	466	156	438	202	204	466
chr3	SEMA3F	50192848	50226508	3516	11524	13808	14556	8740	19554	9832	16520	11524	10726	17162
chr3	SEMA3G	52467268	52479043	4700	260	238	262	180	248	208	282	202	244	314
chr3	SEMA5B	122628040	122747452	5707	10	14	24	6	6	4	10	2	8	2
chr3	SENP2	185304031	185348885	3194	5892	4304	6594	4230	4514	5162	4972	5282	5002	4210
chr3	SENP5	196594727	196661584	6307	3642	2764	4086	2806	3726	3042	3064	3054	3156	3234
chr3	SENP7	101043118	101232085	4933	2122	1154	2324	1492	940	1622	1214	1718	1924	844
chr3	SERP1	150259780	150264428	3172	9858	8912	11868	8088	12886	8974	11864	9042	9088	11826
chr3	SERPINI1	167453432	167543357	1989	92	52	56	52	64	70	64	68	68	80
chr3	SERPINI2	167159723	167191818	1430	0	0	0	0	0	0	0	0	0	0
chr3	SETD2	47057898	47205467	8433	11180	6004	13416	8152	4968	9672	6456	10072	9304	4798
chr3	SETD5	9439403	9519838	6827	13650	8268	15218	9200	7816	11274	8826	11398	11434	7226
chr3	SETMAR	4344988	4358949	2397	570	612	770	500	960	496	832	584	588	844
chr3	SFMBT1	52937583	53080089	5051	2158	1422	2484	1628	1974	1884	1656	1988	1862	1778
chr3	SGOL1	20202085	20227724	4770	3172	2360	3794	2358	2524	2750	2778	2800	2544	2398
chr3	SH3BP5	15296357	15382901	3033	2996	2468	3650	1970	1966	2396	2764	2844	2822	1854
chr3	SHISA5	48509197	48541661	2166	21452	28360	25048	13880	42750	18730	42430	19212	17420	40314
chr3	SHOX2	157813800	157823952	3223	44	30	80	26	62	32	54	32	48	58
chr3	SHQ1	72798428	72897598	2848	2466	1858	2878	1816	2212	2140	2214	2218	2272	1920
chr3	SI	164696686	164796283	6011	0	0	0	0	0	0	0	0	0	0
chr3	SIAH2	150458910	150481263	2620	1406	1686	1680	1178	2536	1286	1914	1282	1304	2264
chr3	SIDT1	113251218	113348422	5002	32	10	14	12	18	22	18	22	16	20
chr3	SKIL	170075473	170114637	7275	8216	3906	8502	9302	3284	6868	4402	6734	11630	3076
chr3	SLC12A8	124801480	124931609	3515	180	158	228	158	120	180	160	196	216	134
chr3	SLC15A2	121613171	121663034	5523	98	66	130	58	98	54	88	98	114	62
chr3	SLC22A13	38307298	38319806	2560	4	4	2	10	12	6	10	18	10	4
chr3	SLC22A14	38347445	38359859	1977	2	8	4	2	0	0	2	0	2	6
chr3	SLC25A20	48894356	48936426	1892	1248	1422	1524	1154	2484	1066	1990	1124	1148	2070
chr3	SLC25A26	66119285	66429351	2758	1080	1158	1276	832	2018	1012	1604	976	962	1742
chr3	SLC25A36	140660662	140698785	4661	5064	3442	6094	4258	3292	4308	3932	4358	4732	3090
chr3	SLC25A38	39424815	39438819	2124	1944	2160	2294	1576	3450	1808	2770	1722	1680	2826
chr3	SLC26A6	48663156	48672926	2890	2576	3024	2716	1806	3954	1902	3628	2146	2400	3860
chr3	SLC2A2	170714137	170744768	3439	0	0	0	0	0	2	0	0	2	0
chr3	SLC33A1	155544301	155572248	3810	3092	2088	3680	2310	2006	2638	2402	2744	2594	2034
chr3	SLC35A5	112280895	112303003	2940	4030	2512	4586	3032	2788	3494	2844	3512	3464	2656
chr3	SLC38A3	50242692	50258406	2453	64	54	108	38	58	66	118	76	54	98
chr3	SLC41A3	125725200	125820391	2887	3678	4268	4072	2566	5432	3168	5554	3350	3198	5324
chr3	SLC4A7	27414214	27498245	7757	3494	1488	4250	3284	1132	3052	1364	3736	3544	1000
chr3	SLC6A1	11034420	11080935	4494	0	0	2	0	2	0	0	4	0	0
chr3	SLC6A11	10857917	10980146	1991	0	2	2	0	0	0	0	0	4	0
chr3	SLC6A20	45796941	45838035	5432	36	18	54	28	28	24	36	18	26	30
chr3	SLC6A6	14444106	14530857	6877	3618	1960	4138	2570	2802	2894	1974	2868	3328	2070
chr3	SLC7A14	170177342	170303863	10133	84	60	104	66	86	78	68	82	82	104
chr3	SLC9A10	111859752	112013074	4123	8	4	26	12	8	16	4	18	28	14
chr3	SLC9A9	142984064	143567373	3627	4	0	16	0	0	6	4	4	0	6
chr3	SLCO2A1	133651540	133748920	4223	11162	7594	13660	8204	12008	9504	8784	10312	10574	9812
chr3	SLITRK3	164904508	164914469	4222	0	0	0	0	0	0	0	4	0	0
chr3	SLMAP	57743174	57914894	4420	7108	3804	8548	5416	3482	6590	4208	6544	6346	3316
chr3	SMARCC1	47627378	47823405	5757	19782	13832	23392	15086	12490	17632	15448	17728	16364	11900
chr3	SMC4	160117430	160152741	5387	46234	26558	52888	33998	21350	39518	29224	40432	38862	20514
chr3	SNRK	43328004	43392634	5215	11862	7210	13890	9140	6854	9890	8160	10408	11806	6476
chr3	SNTN	63638344	63650891	1584	14	4	18	14	12	14	18	10	16	4
chr3	SNX4	125165494	125239058	2524	4498	3716	5420	3532	4168	4132	4382	4112	3942	3884
chr3	SOX14	137483134	137485172	2039	0	2	0	0	0	4	0	0	0	0
chr3	SOX2	181429712	181432223	2512	2	2	0	2	8	0	4	2	2	0
chr3	SOX2-OT	181328151	181459005	2495	0	2	0	4	4	6	2	0	0	0
chr3	SPATA12	57094469	57109460	2413	2	6	2	4	10	2	2	4	2	0
chr3	SPATA16	172607147	172859058	2107	0	0	0	0	0	0	0	0	0	0
chr3	SPCS1	52739857	52742197	1084	6742	7126	8024	5312	12222	5736	10100	6102	5806	11048
chr3	SPICE1	113161565	113234034	5448	1158	706	1286	846	880	926	824	1028	1068	660
chr3	SPINK8	48348336	48369831	440	0	2	6	0	0	0	0	0	0	0
chr3	SPSB4	140770743	140867453	2409	2	0	4	0	4	6	2	2	8	2
chr3	SPTSSB	161062580	161089871	2306	18	8	28	8	8	22	22	10	18	12
chr3	SRGAP3	9022278	9291311	8932	16	18	26	8	18	16	32	8	14	12
chr3	SRPRB	133502877	133540336	2827	4806	4976	5890	4374	8248	4352	6016	4818	4272	6720
chr3	SS18L2	42632298	42636490	815	1248	1422	1442	1008	2804	1156	2104	1202	990	2454
chr3	SSR3	156257929	156272973	3716	27416	21858	31410	23276	35666	24082	28202	24514	25568	30406
chr3	SST	187386694	187388201	632	0	0	0	0	0	0	0	0	0	2
chr3	ST3GAL6	98451572	98513236	2094	980	722	964	768	1332	776	1026	792	888	1132
chr3	ST6GAL1	186648315	186796341	4732	332	438	434	194	430	278	732	272	310	652
chr3	STAB1	52529356	52558511	7926	21316	22672	24218	13938	22310	15758	25202	18132	19052	22658
chr3	STAC	36422097	36589496	2963	10	14	14	8	8	4	8	18	12	8
chr3	STAG1	136055999	136471245	5166	7290	3652	8566	5398	3218	6518	3952	6480	6302	3002
chr3	STT3B	31574491	31677556	2481	17684	8954	20664	13220	6336	15552	8356	15874	15622	5636
chr3	STX19	93733215	93747454	1156	6	12	4	10	4	6	2	8	8	4
chr3	STXBP5L	120627050	121143608	9365	28	20	24	34	4	28	6	32	34	10
chr3	SUCLG2	67410884	67705038	2663	5762	4756	6906	4504	4936	5066	5406	4982	4888	4712
chr3	SUCNR1	151591431	151599876	1650	0	0	0	4	0	0	0	6	2	0
chr3	SUMF1	4402829	4508966	2161	1986	2216	2372	1318	2786	1790	2840	1738	1728	2656
chr3	SUSD5	33191537	33260707	5005	10010	6488	11762	6916	7002	8808	7152	8622	8652	6604
chr3	TADA3	9821654	9834420	3134	4004	5364	5010	3016	7456	3600	7720	3684	3710	7414
chr3	TAGLN3	111717586	111732735	1576	0	18	8	10	36	10	10	30	14	32
chr3	TAMM41	11831919	11888352	1253	614	718	756	538	892	532	936	640	608	854
chr3	TATDN2	10290177	10322906	4907	6890	5742	7874	5000	8166	5990	7028	6468	5660	6870
chr3	TBC1D23	99979686	100044094	3859	5208	3112	5588	3640	3222	4302	3542	4390	4232	2846
chr3	TBC1D5	17198654	17784240	8476	8250	5054	9452	5788	3690	7016	5154	7186	6948	3390
chr3	TBCCD1	186263856	186288332	3150	1986	1688	2152	1426	2280	1544	2102	1696	1850	1984
chr3	TBL1XR1	176738542	176915048	6550	10424	6104	11950	8354	7042	9692	6938	9068	9252	6812
chr3	TCTA	49449639	49453909	2147	2064	2264	2476	1666	3984	1764	3100	1942	1964	3782
chr3	TCTEX1D2	196018090	196045165	679	446	618	594	360	902	440	832	490	478	900
chr3	TDGF1	46616045	46623952	2192	0	8	6	6	8	4	0	6	4	8
chr3	TERC	169482398	169482848	451	2	16	10	6	2	2	20	0	4	10
chr3	TEX264	51705222	51738339	1677	2188	3356	2562	1632	5640	1910	4860	1964	2064	5654
chr3	TF	133464977	133497850	2791	16	18	20	10	18	18	28	16	14	12
chr3	TFDP2	141663270	141868386	10141	5246	4592	5722	3422	4214	4478	5618	4082	3996	4540
chr3	TFG	100428134	100467811	2114	11800	10522	14156	9234	14272	10542	13878	10608	10446	12880
chr3	TFRC	195776155	195809032	5295	34096	14152	40520	28248	10830	31424	15044	31654	30402	10710
chr3	TGFBR2	30647994	30735633	4703	53054	33244	65362	39554	41732	46810	39890	48936	49208	38104
chr3	TGM4	44916098	44956088	2999	46	24	48	30	34	40	30	62	46	26
chr3	THOC7	63819546	63849597	1008	5618	5706	6496	4722	8824	4994	7548	5012	4884	8390
chr3	THPO	184089773	184095932	1805	2	6	4	6	8	0	2	4	0	0
chr3	THRB	24158645	24536313	7684	10	2	24	8	6	10	2	10	8	14
chr3	THUMPD3	9404717	9428475	3980	3220	2674	3696	2386	2880	2906	3240	2892	2654	2552
chr3	TIGIT	114012833	114029135	2968	4	0	2	2	0	4	0	0	2	0
chr3	TIMMDC1	119217368	119243125	1593	3688	3770	4376	2998	5246	3254	5316	3320	3250	5098
chr3	TIMP4	12194568	12200851	1633	1000	950	1104	636	1782	762	1364	670	786	1500
chr3	TIPARP	156392205	156424557	4530	8190	5252	10032	9734	5478	7788	5506	7886	12514	5102
chr3	TIPARP-AS1	156390960	156393502	2543	44	40	72	32	38	66	30	54	62	52
chr3	TKT	53258723	53290130	3066	26238	34186	32158	20866	50082	23306	41170	24460	24292	43670
chr3	TLR9	52255096	52260179	3870	16	20	16	4	30	6	14	8	24	20
chr3	TM4SF1	149086805	149095568	1691	44710	43378	53976	34964	73520	40330	60618	40436	38948	66108
chr3	TM4SF18	149036285	149051548	3925	3552	2622	4252	2718	4760	2926	3540	2844	3188	3902
chr3	TM4SF19	196050417	196065291	1059	8	6	10	6	16	4	20	12	8	18
chr3	TM4SF19-TCTEX1D2	196042956	196065291	1008	2	0	6	0	10	2	4	0	4	2
chr3	TM4SF4	149192368	149221181	1607	4	2	0	4	14	0	2	2	2	0
chr3	TMCC1	129366635	129612419	6724	2352	1786	2548	1486	1508	1950	2108	1818	1860	1656
chr3	TMEM108	132757171	133116619	3791	0	2	0	0	0	0	2	4	4	0
chr3	TMEM110	52870772	52931597	4736	3266	3000	3908	2316	3706	2938	3936	2836	2772	3480
chr3	TMEM110-MUSTN1	52867131	52931597	1459	2	4	12	2	12	4	10	6	6	16
chr3	TMEM111	10005636	10028522	1080	4964	4992	5846	4012	8366	4484	7030	4436	4522	7492
chr3	TMEM115	50392180	50396939	2095	3556	4730	4346	2370	7376	2962	6248	3044	2916	6992
chr3	TMEM14E	152057487	152058779	1293	14	22	34	20	8	18	0	16	20	8
chr3	TMEM158	45265956	45267814	1859	50	70	58	64	174	44	88	70	76	140
chr3	TMEM212	171561139	171577108	1881	1150	610	1328	964	442	844	620	1092	1244	444
chr3	TMEM22	136537861	136574734	2060	996	1010	1204	866	1478	844	1172	954	870	1426
chr3	TMEM30C	99904668	99913030	518	0	0	0	4	0	0	0	0	0	0
chr3	TMEM39A	119149701	119182471	2957	2762	2144	3438	2144	2076	2184	2250	2408	2416	2052
chr3	TMEM40	12775392	12800808	1710	202	184	240	138	208	188	238	152	154	212
chr3	TMEM41A	185207389	185216845	2827	2214	1804	2508	1758	2886	1890	2458	2026	1988	2534
chr3	TMEM42	44903408	44907154	971	702	1022	814	450	1570	558	1490	542	598	1794
chr3	TMEM43	14166440	14185180	3342	17218	16266	20194	12784	17514	15416	19642	15314	15232	17776
chr3	TMEM44	194308402	194354150	2520	5838	6804	6450	3800	9506	4432	9816	4918	4888	9020
chr3	TMEM45A	100211463	100296285	1564	1380	886	1604	924	1492	1354	1310	1032	1188	1464
chr3	TMEM89	48658275	48659189	480	10	8	6	2	12	4	16	4	8	18
chr3	TMF1	69068978	69101484	6879	8948	4332	10272	6924	4072	7796	4422	8184	8092	3586
chr3	TMIE	46742823	46752413	1861	70	110	98	42	94	62	86	64	36	100
chr3	TMPPE	33131908	33138293	3971	812	308	1092	606	266	758	290	904	850	284
chr3	TMPRSS7	111758465	111800116	2622	12	6	8	8	2	6	10	0	14	4
chr3	TNFSF10	172223298	172241297	3064	4118	2536	3992	1806	4688	3346	4432	2770	2608	3292
chr3	TNIK	170780292	171178197	6091	18	46	72	80	60	50	36	82	84	24
chr3	TNK2	195590236	195635880	4837	1812	2656	2140	1184	3728	1388	3730	1714	1694	3950
chr3	TNNC1	52485107	52488057	696	10	18	10	4	36	10	16	2	4	24
chr3	TOMM70A	100082303	100120242	4381	8518	6032	9820	6728	6876	7558	7220	8018	7484	6370
chr3	TOP2B	25639475	25705788	5189	15480	10578	18072	12288	10736	13588	12092	13554	13728	10704
chr3	TOPBP1	133319449	133380737	5346	14384	8444	16480	10156	7350	12326	9068	12474	12542	7150
chr3	TP63	189349216	189615068	6524	68	48	58	22	18	62	56	68	42	20
chr3	TPRA1	127291908	127309568	2185	2630	3824	3192	2076	5530	2262	5020	2468	2328	5794
chr3	TPRG1	188889763	189041271	3657	2	0	4	2	4	4	2	0	0	2
chr3	TPRXL	13978807	14107481	2260	0	4	0	0	2	0	6	0	0	2
chr3	TRA2B	185632358	185655924	4288	14352	14130	18222	12044	17698	13138	17968	13650	13290	17058
chr3	TRAIP	49866028	49893992	2024	1676	2144	1874	1268	3002	1508	2946	1486	1286	2996
chr3	TRAK1	42132746	42267268	8054	8424	5712	9676	6036	5888	7174	6740	7708	7128	5842
chr3	TRANK1	36868308	36986548	10484	8624	4908	9672	4560	3780	7678	6092	6768	6132	3228
chr3	TRAT1	108541631	108573714	1695	0	2	0	0	0	0	2	0	0	0
chr3	TREX1	48507229	48509044	1816	1568	1816	1576	914	3394	1314	2988	1240	1168	3198
chr3	TRH	129693114	129696779	2010	8	4	2	2	8	0	6	4	4	10
chr3	TRIM42	140396866	140419992	2554	0	0	0	0	0	0	0	2	0	0
chr3	TRIM59	160153291	160167626	3876	5742	4302	6574	4276	5140	5158	5012	5074	4886	4512
chr3	TRIM71	32859510	32933771	3138	8	2	0	0	0	2	0	2	2	2
chr3	TRNT1	3168600	3190706	2275	1748	1472	1916	1372	1952	1502	1528	1474	1534	1650
chr3	TRPC1	142443266	142526729	4170	942	648	1098	744	504	922	658	838	972	520
chr3	TSC22D2	150126788	150177615	3885	3276	2296	3800	2914	2102	2820	2468	3096	3586	1804
chr3	TSEN2	12525931	12574820	3604	570	554	736	534	634	506	636	580	466	618
chr3	TTC14	180319918	180328918	4787	2854	1648	2882	2016	2454	2274	2002	2304	2436	2062
chr3	TTC21A	39149152	39180394	4258	306	262	318	186	336	218	312	270	268	308
chr3	TTLL3	9851644	9878040	4470	410	418	470	276	546	370	588	406	386	458
chr3	TUSC2	50362341	50365668	1682	2538	2990	2794	1996	4556	2144	4178	2334	2328	4320
chr3	TWF2	52262626	52273183	1625	5086	6924	6150	3824	11126	4258	9542	5004	4440	10902
chr3	TXNRD3	126325895	126373967	2919	244	164	306	206	212	250	216	188	216	238
chr3	TXNRD3NB	126290622	126327398	1134	2	0	2	4	0	0	0	0	0	0
chr3	U2SURP	142720372	142779567	7464	17452	10516	20794	14296	9900	15322	11732	16512	15612	8974
chr3	UBA3	69103881	69129524	2119	9098	7170	10658	7036	8678	8022	8592	7822	7838	7570
chr3	UBA5	132373290	132396944	3256	3870	3126	4520	3334	3916	3188	3654	3532	3274	3670
chr3	UBA7	49842638	49851391	3313	6584	7186	6736	3312	9774	5008	10846	5076	4996	9048
chr3	UBE2E1	23847384	23933131	1931	7738	6662	9092	6518	9092	6836	8264	7154	7060	8442
chr3	UBE2E2	23244784	23632296	1760	432	604	580	412	808	468	632	526	458	738
chr3	UBP1	33429829	33481897	4174	11812	8586	14062	9196	9200	10020	9698	10738	10110	8882
chr3	UBXN7	196080369	196159345	4732	6902	4170	8022	5078	4132	5798	4828	5896	5614	4420
chr3	UCN2	48599151	48601201	1485	26	32	16	18	36	28	18	32	26	22
chr3	ULK4	41288090	42003660	4359	472	284	578	306	484	354	374	416	464	380
chr3	UMPS	124449213	124468119	6836	4170	4286	5026	3520	6156	3652	5344	3760	3722	5432
chr3	UPK1B	118892425	118924000	2058	24	28	40	34	24	22	38	26	24	56
chr3	UQCRC1	48636432	48647098	1617	11126	15510	13486	8222	23170	9914	21136	10260	10222	22296
chr3	UROC1	126200008	126236616	3445	2	0	2	2	0	2	2	0	0	2
chr3	USP13	179370933	179507189	7933	5124	3188	6224	3802	3100	4354	3446	4486	4452	3150
chr3	USP19	49145479	49158371	5353	5350	6018	6120	3602	6090	4598	6924	4776	4504	5946
chr3	USP4	49314577	49377536	4949	9158	8172	10836	6562	9000	8050	10060	8322	7804	9160
chr3	UTS2D	190984944	191048325	2408	216	116	262	150	136	186	164	214	206	130
chr3	VEPH1	156977532	157221415	5099	946	544	1082	870	772	748	674	764	850	662
chr3	VGLL3	86987123	87040257	10396	3406	1324	3618	2438	990	2956	1518	2964	3072	932
chr3	VGLL4	11597544	11762220	4610	2834	2224	3396	2212	2642	2426	2696	2594	2602	2338
chr3	VHL	10183319	10195354	4560	8888	9474	9728	6084	15370	7706	13782	7408	6972	14102
chr3	VILL	38035078	38048676	2787	640	746	746	394	1026	392	1242	566	526	994
chr3	VIPR1	42530791	42579065	3369	50	36	84	56	98	48	46	44	50	62
chr3	VPRBP	51433298	51534018	5842	4824	2780	5344	3494	2288	4050	2858	4154	3908	2138
chr3	VPS8	184529931	184770402	5047	3092	2042	3724	2172	1760	2352	2116	2548	2466	1780
chr3	VWA5B2	183948317	183960117	4020	20	28	28	16	34	16	36	16	18	18
chr3	WDR48	39093507	39137881	3691	4408	3204	5124	2862	3364	3802	3856	3554	3556	3306
chr3	WDR49	167196473	167371289	2593	4	0	4	0	0	2	4	2	2	0
chr3	WDR52	113005777	113160361	10539	766	484	904	562	438	556	508	676	726	294
chr3	WDR53	196281059	196295413	1571	1162	1232	1378	804	1650	994	1596	990	942	1338
chr3	WDR5B	122130700	122134882	4183	714	620	728	534	820	584	638	542	580	846
chr3	WDR6	49044637	49053386	4259	14320	14778	16402	10062	17780	12472	17898	12746	12362	15930
chr3	WDR82	52288438	52312659	4292	20474	14238	24204	15108	14526	18244	16642	17464	16174	13398
chr3	WNT5A	55499743	55521670	6245	8	0	42	0	0	8	0	2	6	0
chr3	WNT7A	13860082	13921618	1714	0	2	0	0	0	0	0	0	0	0
chr3	WWTR1	149235022	149421060	5367	23576	13366	27328	16672	16408	20246	16024	20440	20796	15188
chr3	WWTR1-AS1	149375997	149379149	1698	36	32	38	32	58	30	64	50	48	50
chr3	XIRP1	39224706	39234085	6460	6	0	6	14	2	6	2	4	0	0
chr3	XPC	14186648	14220172	3720	6498	6934	7330	4882	7726	5764	8034	5688	5866	7616
chr3	XRN1	142025449	142166853	10092	9230	3622	10796	6512	2854	8222	3550	8192	8222	2860
chr3	XXYLT1	194789013	194991895	2721	3830	3246	4400	2600	4290	3214	4412	3550	3150	4294
chr3	XYLB	38388251	38456467	3683	422	326	478	362	236	422	342	382	396	252
chr3	YEATS2	183415606	183530413	6506	9992	7656	11214	6854	7368	8520	8312	8254	7574	6972
chr3	ZBBX	166958077	167098085	3478	2	0	2	0	0	0	0	0	0	0
chr3	ZBED2	111311747	111314182	2203	4	0	4	8	8	2	0	2	4	10
chr3	ZBTB11	101368283	101395988	5119	3966	2226	4244	3130	2030	3126	2234	3334	3572	1768
chr3	ZBTB20	114056947	114866127	4688	268	90	332	184	46	194	62	234	230	44
chr3	ZBTB20-AS1	114070658	114107825	1719	2	2	16	10	2	6	6	2	8	0
chr3	ZBTB38	141043055	141168632	8384	17608	9206	22034	14112	6872	15998	7688	17430	16720	6394
chr3	ZBTB47	42695176	42709072	5507	2178	2318	2430	1456	2818	1770	2968	1892	1600	2814
chr3	ZCWPW2	28431987	28566632	1659	46	34	54	30	34	66	38	28	14	24
chr3	ZDHHC19	195924323	195938300	1337	4	6	8	2	14	2	2	2	0	8
chr3	ZDHHC23	113666748	113681827	3776	354	274	346	354	404	302	366	282	466	376
chr3	ZDHHC3	44956753	45017674	12686	8102	7194	9620	6022	9534	7048	9146	7202	7182	8748
chr3	ZFYVE20	15111580	15140655	6678	5426	3950	6402	3694	4076	4678	4608	4788	4482	3976
chr3	ZIC1	147127181	147134506	5231	2	0	8	0	2	2	0	0	4	4
chr3	ZIC4	147103835	147124596	5208	0	0	0	0	0	2	0	0	4	0
chr3	ZMAT3	178735011	178789656	9116	2360	1292	2510	1550	1188	2098	1654	1922	2020	1200
chr3	ZMYND10	50378537	50383156	1773	22	36	20	16	64	44	54	18	20	62
chr3	ZNF148	124944513	125094198	9543	6308	3276	7654	4456	3104	5374	3520	5714	5462	3054
chr3	ZNF167	44596713	44624973	3974	222	150	248	104	118	190	176	186	182	146
chr3	ZNF197	44666511	44689963	6326	1352	800	1610	832	1018	1096	1002	1116	994	990
chr3	ZNF35	44690233	44702283	2649	974	634	1152	784	1022	928	810	994	890	850
chr3	ZNF385D	21462490	21792816	1812	0	2	0	0	4	0	0	0	2	2
chr3	ZNF445	44481262	44519162	10249	5470	3928	6130	3720	4034	4382	4186	4568	4336	3560
chr3	ZNF501	44771124	44778575	3063	186	180	224	174	212	202	252	222	160	260
chr3	ZNF502	44754135	44765323	3273	180	184	236	140	162	158	230	208	198	192
chr3	ZNF589	48282596	48312479	3364	1132	1072	1250	972	1848	1024	1148	946	994	1410
chr3	ZNF619	40518604	40531728	4184	846	554	1174	600	674	844	666	862	710	724
chr3	ZNF620	40547530	40559712	2838	644	652	810	496	680	658	810	654	680	646
chr3	ZNF621	40566376	40581043	8234	3812	2612	4192	2790	2900	3116	3124	3286	3184	2832
chr3	ZNF639	179041551	179053320	3013	3598	2934	4126	2836	3292	3268	3370	3270	3124	2900
chr3	ZNF654	88188262	88193814	4957	1846	994	1992	1444	950	1586	1152	1610	1584	932
chr3	ZNF660	44626456	44637557	2205	84	18	76	54	20	52	34	58	54	28
chr3	ZNF662	42947402	42960825	5885	156	124	160	126	154	120	148	116	120	128
chr3	ZNF717	75786029	75834255	3068	244	202	284	166	158	188	200	190	214	134
chr3	ZNF80	113953480	113956425	2946	120	158	220	110	88	174	156	188	140	88
chr3	ZNF860	32023266	32033228	3206	320	142	304	228	132	186	106	240	262	154
chr3	ZPLD1	102153859	102198685	3619	0	10	2	6	52	16	52	2	2	2
chr3	ZXDC	126156444	126194762	13739	5446	3884	6170	3938	3972	4588	4260	4900	4884	3792
chr4	1/2-SBSRNA4	110351119	110354973	957	52	48	48	36	84	44	50	48	34	66
chr4	AADAT	170981373	171011372	2404	12	4	4	2	4	6	2	8	12	8
chr4	AASDH	57204457	57253638	3561	1038	814	1296	842	790	880	924	890	938	726
chr4	ABCE1	146019156	146050676	4194	18898	11258	22656	17376	11678	16928	12034	18528	17684	10150
chr4	ABCG2	89011416	89080011	4431	2926	2080	3404	2110	2520	2246	2736	2178	2450	2668
chr4	ABLIM2	7967037	8160559	4832	188	184	244	146	202	210	218	168	182	180
chr4	ACCN5	156750881	156787425	1692	0	0	0	0	0	0	0	0	0	0
chr4	ACOX3	8368009	8442452	2874	880	1088	1172	804	1396	770	1376	892	806	1244
chr4	ACSL1	185676749	185747215	3805	1964	1390	2480	1512	1540	1710	1450	2004	1758	1188
chr4	ADAM29	175839509	175899331	3325	2	0	0	0	0	0	0	0	0	0
chr4	ADAMTS3	73146686	73434516	5822	50	24	32	26	8	46	8	32	30	26
chr4	ADD1	2845584	2931802	4081	21348	19322	24680	14638	23542	18818	24474	17812	17530	23180
